"geneID","logfc.DE","B.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000172893",-0.00385376200848966,0.867404858499638,3.44204864054451,-6.17791506851159,-1.43314393796647,-1.16060301583236,0.704205416260743,0.238557731305006,-1.64753098698487,-1.44216793573631,-2.98099027074683,0.401529676029253
"ENSG00000159063",-0.0332722572804099,0.770216379943171,3.28085211602007,-6.05087396599557,-1.53291106821391,-1.28968440214484,0.683567699204432,0.215906233824122,-1.45787807040708,-1.3683114558601,-2.95216574120525,0.23581015582207
"ENSG00000164751",-0.192376463816465,0.111303369211132,3.66494627438036,-5.95726695962868,-1.19373608244346,-0.832641688665323,0.527797151281146,0.303086788909069,-1.22070643539765,-1.93066578067987,-2.25878398174932,0.204374307863301
"ENSG00000183077",-0.00235002800938321,0.510427096728241,3.23106665426958,-6.17420676968407,-1.60450333384488,-1.38012232377604,0.624906590573491,0.200989354734619,-1.14862495769653,-1.38923894668469,-2.79088169444871,0.00764596647275029
"ENSG00000008853",-0.0288652816984227,0.246254473535217,3.20193838134655,-6.05955917466557,-1.60352833432953,-1.37890191558342,0.561254385497376,0.201185414821789,-0.908123008783484,-1.49688370190126,-2.60050884436914,-0.157849053110909
"ENSG00000233802",-0.153813649189626,0.574447798141382,2.9219364912134,-6.29487029953648,-1.90614614026114,-1.74521163876257,0.63978884663221,0.14865216871183,-0.952885239752479,-1.12052667692947,-3.02302286265304,-0.28436117611765
"ENSG00000136152",-0.27732629617518,0.821201428843765,2.92635610064319,-6.7494188973173,-2.12249771392976,-1.99496861664363,0.694491310574053,0.119732197942531,-1.02926228065521,-0.858349092668292,-3.34120499192585,-0.385072261651971
"ENSG00000175449",-0.0409192768196453,0.792913934634188,2.76071594339833,-6.51858141708469,-2.13100423210441,-2.00462660329437,0.688456666147361,0.118718013529311,-0.996555360597526,-0.864457873299241,-3.32635850097462,-0.408407443292424
"ENSG00000196549",-0.196449778314295,1.77374172258245,2.99272792433627,-7.26277669183883,-2.48583568069306,-2.39890871827582,0.854922373913896,0.0832559500425453,-1.73708292142162,-0.245965309629661,-4.33135542933651,-0.41163434748046
"ENSG00000027075",-0.0114063177476694,0.780159505840598,2.62212780848586,-6.01733062607331,-2.15861507642159,-2.03589932823084,0.685714490080642,0.115484948166005,-0.965939196907289,-0.85090812695754,-3.33568444753776,-0.444371275715732
