Probes.Probe_Type VCap.Probe_id VCap.Gene_symbol point_change androgen_point_change
Common Probe ILMN_1862963 LOC643837 3 0
Common Probe ILMN_1709067 SAMD11 3 0
Common Probe ILMN_1653466 HES4 2 0
Common Probe ILMN_1754757 SCNN1D 10 7
Common Probe ILMN_1780315 PUSL1 9 0
Common Probe ILMN_1660554 VWA1 4 0
Common Probe ILMN_2131936 ATAD3B 9 9
Common Probe ILMN_1697267 PRKCZ 4 0
Common Probe ILMN_1760933 PEX10 4 17
Common Probe ILMN_1718488 MMEL1 7 0
Common Probe ILMN_1678962 DFFB 2 0
Common Probe ILMN_2079386 RPL22 6 NA
Common Probe ILMN_1709870 HES2 4 2
Common Probe ILMN_1761560 PHF13 17 0
Common Probe ILMN_1661940 CAMTA1 3 0
Common Probe ILMN_1665510 ERRFI1 1 0
Common Probe ILMN_1891725 BX111675 4 0
Common Probe ILMN_1710756 ENO1 14 0
Common Probe ILMN_1671337 SLC2A5 2 0
Common Probe ILMN_1714170 SPSB1 1 0
Common Probe ILMN_1688103 CTNNBIP1 12 0
Common Probe ILMN_1802458 AGTRAP 2 0
Common Probe ILMN_1752478 DHRS3 2 0
Common Probe ILMN_1798458 KIAA1026 6 5
Common Probe ILMN_1674985 TMEM51 7 3
Common Probe ILMN_1761463 EFHD2 2 0
Common Probe ILMN_1726704 RSC1A1 17 0
Common Probe ILMN_1720124 RCC2 6 0
Common Probe ILMN_1677043 AKR7A2 14 0
Common Probe ILMN_1798980 CAPZB 4 1
Common Probe ILMN_1794863 CAMK2N1 3 0
Common Probe ILMN_1775692 EIF4G3 15 0
Common Probe ILMN_1813840 AOF2 8 1
Common Probe ILMN_1726928 TCEA3 3 0
Common Probe ILMN_1685441 ASAP3 6 0
Common Probe ILMN_1777233 E2F2 2 0
Common Probe ILMN_1684210 NIPAL3 6 0
Common Probe ILMN_1713807 MAN1C1 5 0
Common Probe ILMN_1657796 STMN1 11 0
Common Probe ILMN_1745593 STMN1 12 0
Common Probe ILMN_1750785 SYTL1 16 0
Common Probe ILMN_1694539 MAP3K6 9 0
Common Probe ILMN_1773901 STX12 0 7
Common Probe ILMN_1678095 SMPDL3B 6 0
Common Probe ILMN_1780382 SPCS2 7 1
Common Probe ILMN_1727458 HDAC1 23 0
Common Probe ILMN_1734483 BSDC1 12 8
Common Probe ILMN_1686968 ZNF362 9 4
Common Probe ILMN_1775432 CSMD2 14 0
Common Probe ILMN_1651278 SNIP1 4 0
Common Probe ILMN_1709294 CDCA8 19 0
Common Probe ILMN_1736008 YRDC 0 0
Common Probe ILMN_1786273 C1orf122 8 5
Common Probe ILMN_1760121 RRAGC 2 0
Common Probe ILMN_1658337 AKIRIN1 4 0
Common Probe ILMN_1754865 PABPC4 7 4
Common Probe ILMN_1736976 HPCAL4 7 0
Common Probe ILMN_1685122 COL9A2 5 0
Common Probe ILMN_1781468 SMAP2 7 0
Common Probe ILMN_1783996 DEM1 4 0
Common Probe ILMN_1787691 CITED4 1 0
Common Probe ILMN_1783285 CTPS 3 0
Common Probe ILMN_1653861 SCMH1 4 0
Common Probe ILMN_1776094 PPCS 16 0
Common Probe ILMN_1768127 EBNA1BP2 17 0
Common Probe ILMN_1685709 TMEM125 4 4
Common Probe ILMN_1699472 ST3GAL3 13 0
Common Probe ILMN_1803691 ARTN 9 0
Common Probe ILMN_2375418 DPH2 5 0
Common Probe ILMN_1721391 ATP6V0B 6 5
Common Probe ILMN_1671971  2 0
Common Probe ILMN_1682402 SNORD46 12 6
Common Probe ILMN_1654370 TESK2 3 0
Common Probe ILMN_1803005 MMACHC 6 0
Common Probe ILMN_1728047 AKR1A1 7 0
Common Probe ILMN_2348975 NASP 15 5
Common Probe ILMN_1658027 RAD54L 22 9
Common Probe ILMN_1750429 MKNK1 7 0
Common Probe ILMN_1790603 ATPAF1 12 4
Common Probe ILMN_1659215 CYP4B1 8 10
Common Probe ILMN_1789400 FOXD2 9 4
Common Probe ILMN_1677765 LRP8 3 0
Common Probe ILMN_1803564 YIPF1 6 3
Common Probe ILMN_1769547 DIO1 6 0
Common Probe ILMN_1814165 SSBP3 3 0
Common Probe ILMN_1686852 SSBP3 6 0
Common Probe ILMN_1739594 ACOT11 9 7
Common Probe ILMN_1725510 DHCR24 12 8
Common Probe ILMN_2408683 PPAP2B 7 0
Common Probe ILMN_1758731 CYP2J2 3 0
Common Probe ILMN_1669805 C1orf87 17 14
Common Probe ILMN_1695193 ANGPTL3 19 0
Common Probe ILMN_1655904 ROR1 4 0
Common Probe ILMN_1899404 AK000776 2 0
Common Probe ILMN_1804737 RAVER2 8 4
Common Probe ILMN_1793384 JAK1 3 0
