SymbolReannotated EnsemblReannotated
TUBA3E ENSG00000152086
ORM2 ENSG00000228278
DHCR7 ENSG00000172893
ALG8 ENSG00000159063
NOTCH2NL ENSG00000255168
PEX2 ENSG00000164751
TUBA3D ENSG00000075886
AFMID ENSG00000183077
YWHAQ ENSG00000134308
AGR3 ENSG00000173467
RHOBTB2 ENSG00000008853
TRIM49L1 ENSG00000233802
SNTG2 ENSG00000172554
AZGP1 ENSG00000160862
COG3 ENSG00000136152
RFESD ENSG00000175449
MME ENSG00000196549
PRKCH ENSG00000027075
TNFRSF10B ENSG00000120889
S100P ENSG00000163993
ELF2 ENSG00000109381
DBI ENSG00000155368
CLDN8 ENSG00000156284
RAB11FIP1 ENSG00000156675
ATG4B ENSG00000168397
RBM20 ENSG00000203867
TUBA3C ENSG00000198033
KRSP1 ENSG00000197588
CST2 ENSG00000170369
ZNF761 ENSG00000250731
CCDC53 ENSG00000120860
CR745374 ENSG00000248597
GRHL1 ENSG00000134317
CHST1 ENSG00000175264
ORM1 ENSG00000229314
SNTB2 ENSG00000168807
AQP3 ENSG00000165272
LIMS1 ENSG00000169756
SEC14L5 ENSG00000103184
CCDC15 ENSG00000149548
IQCK ENSG00000174628
RAD54B ENSG00000197275
HYDIN ENSG00000234295
EFNA1 ENSG00000169242
GRAMD2 ENSG00000175318
AP3S1 ENSG00000177879
TSPYL2 ENSG00000184205
RNASE12 ENSG00000206171
NCAPD3 ENSG00000151503
ARHGEF37 ENSG00000183111
STEAP4 ENSG00000127954
ZDHHC9 ENSG00000188706
PGC ENSG00000096088
DNASE2B ENSG00000137976
MYOF ENSG00000138119
ANKRD37 ENSG00000186352
AMACR ENSG00000082196
RCAN2 ENSG00000172348
PLEKHA7 ENSG00000166689
CST1 ENSG00000170373
MB ENSG00000198125
IGFBP1 ENSG00000146678
C6orf185 ENSG00000203799
SLC2A5 ENSG00000142583
ACSL3 ENSG00000123983
CST3 ENSG00000101439
SELO ENSG00000073169
ATP1A1 ENSG00000163399
GPR64 ENSG00000173698
MFSD6 ENSG00000151690
IL10RB ENSG00000243646
HES2 ENSG00000069812
ANKMY2 ENSG00000106524
ELMO1 ENSG00000155849
ACAD8 ENSG00000151498
SSR3 ENSG00000114850
DNAJB9 ENSG00000128590
TESC ENSG00000088992
THAP4 ENSG00000176946
STK32B ENSG00000152953
CRELD2 ENSG00000184164
KCNMA1 ENSG00000156113
RFPL3 ENSG00000128276
CDK14 ENSG00000157224
RRBP1 ENSG00000125844
TMEM79 ENSG00000163472
GNMT ENSG00000124713
AMACR ENSG00000242110
KRT8 ENSG00000250539
CST4 ENSG00000101441
SCRG1 ENSG00000164106
SEC22C ENSG00000093183
FKBP5 ENSG00000096060
ADARB1 ENSG00000197381
CITED1 ENSG00000125931
SAT1 ENSG00000130066
THOC5 ENSG00000100296
C3orf14 ENSG00000114405
TSC2 ENSG00000103197
NAGK ENSG00000124357
YIPF1 ENSG00000058799
VGF ENSG00000128564
SOCS2 ENSG00000120833
JPH1 ENSG00000104369
LRRFIP2 ENSG00000093167
PTPRM ENSG00000173482
PLP1 ENSG00000123560
RGMB ENSG00000174136
CRYAB ENSG00000109846
NSDHL ENSG00000147383
ADH1C ENSG00000248144
TBX15 ENSG00000092607
ELOF1 ENSG00000130165
DNAJC10 ENSG00000077232
FAM189A2 ENSG00000135063
FADS1 ENSG00000149485
ABCC4 ENSG00000125257
NUCB2 ENSG00000070081
ASCC1 ENSG00000138303
ZFP36 ENSG00000128016
LRRC26 ENSG00000184709
SLC26A3 ENSG00000091138
CENPN ENSG00000166451
WIPI1 ENSG00000070540
SAR1B ENSG00000152700
CYP4F12 ENSG00000186204
FAM58A ENSG00000147382
BCL2L1 ENSG00000171552
DNAJB11 ENSG00000090520
TMEM125 ENSG00000179178
CECR6 ENSG00000183307
SLC27A3 ENSG00000143554
AGR2 ENSG00000106541
COQ10B ENSG00000115520
VMP1 ENSG00000062716
MPZL1 ENSG00000197965
STYK1 ENSG00000060140
LARGE ENSG00000133424
PRR15L ENSG00000167183
THYN1 ENSG00000151500
GLB1L2 ENSG00000149328
TMED5 ENSG00000117500
GLB1L3 ENSG00000166105
SNX25 ENSG00000109762
ZDHHC8P ENSG00000133519
MLH1 ENSG00000076242
AFF3 ENSG00000144218
GLRX2 ENSG00000023572
SMS ENSG00000213080
GFPT1 ENSG00000198380
SEC11C ENSG00000166562
TSC22D1 ENSG00000102804
COX10 ENSG00000006695
IRS1 ENSG00000169047
SLC35B1 ENSG00000121073
DPP3 ENSG00000254986
PICK1 ENSG00000100151
MARCH2 ENSG00000099785
WDR37 ENSG00000047056
SLC9A3R1 ENSG00000109062
C2orf68 ENSG00000168887
SH3BP4 ENSG00000130147
ALDH1A3 ENSG00000184254
C1orf87 ENSG00000162598
APIP ENSG00000149089
C1orf122 ENSG00000197982
TRAK1 ENSG00000182606
SERP1 ENSG00000120742
FZD9 ENSG00000188763
RFPL2 ENSG00000128253
RHBDF1 ENSG00000007384
DISP2 ENSG00000140323
HMG20B ENSG00000064961
SPCS2 ENSG00000118363
ZNF702 ENSG00000242779
APP ENSG00000142192
STK39 ENSG00000198648
TGM2 ENSG00000198959
HSPC159 ENSG00000119862
ARF4 ENSG00000168374
CBX4 ENSG00000141582
DPP3 ENSG00000256349
UGT2B11 ENSG00000213759
COX17 ENSG00000138495
FAM129B ENSG00000136830
DNAJB6 ENSG00000105993
BHLHE40 ENSG00000134107
BCCIP ENSG00000107949
ANX2P2 ENSG00000182718
ANXA2 ENSG00000182718
PDIA6 ENSG00000143870
MLX ENSG00000108788
KDELR2 ENSG00000136240
FAM107A ENSG00000168309
STT3A ENSG00000134910
CREB3L2 ENSG00000182158
SMS ENSG00000102172
MAN2B2 ENSG00000013288
CYP4F11 ENSG00000171903
SPCS2 ENSG00000228589
GGTLC2 ENSG00000230712
PPP2CB ENSG00000104695
OCEL1 ENSG00000099330
SEC61G ENSG00000132432
HSP90B1 ENSG00000166598
SLC9A2 ENSG00000115616
KRT19 ENSG00000171345
C20orf196 ENSG00000171984
TUBG2 ENSG00000037042
HIST1H2BD ENSG00000158373
SCD ENSG00000099194
C1orf85 ENSG00000198715
STX5 ENSG00000162236
SPOCK1 ENSG00000152377
EAF2 ENSG00000145088
TRAF3IP2 ENSG00000056972
